Label,altLabel,Bounding Box
Taiwan,Taiwan (Province of China),"120.11,21.97,121.95,25.3"
Tajikistan,,"67.44,36.74,74.98,40.96"
Tanzania,United Republic of Tanzania,"29.34,-11.72,40.32,-0.95"
Thailand,,"97.38,5.69,105.59,20.42"
Timor-Leste,,"124.97,-9.39,127.34,-8.27"
Togo,,"-0.05,5.93,1.87,11.02"
Tokelau,,"-172.7237,-9.6461,-170.9777,-8.3305"
Tonga,,"-179.395,-24.1635,-173.5295,-15.3656"
Trinidad and Tobago,,"-61.95,10,-60.9,10.89"
Tunisia,,"7.52,30.31,11.49,37.35"
Turkey,Türkiye,"26.04,35.82,44.79,42.14"
Turkmenistan,,"52.5,35.27,66.55,42.75"
Turks and Caicos Islands,,"-72.6799,20.9553,-70.8644,22.1631"
Tuvalu,,"175.8532,-10.9939,-179.9258,-5.437"
Uganda,,"29.58,-1.44,35.04,4.25"
Ukraine,,"22.09,44.36,40.08,52.34"
United Arab Emirates,,"51.58,22.5,56.4,26.06"
United Kingdom,,"-7.57,49.96,1.68,58.64"
United States,,"-171.79,18.92,-66.96,71.36"
United States Virgin Islands,,"-65.154118,17.623468,-64.512674,18.464984"
Uruguay,,"-58.43,-34.95,-53.21,-30.11"
Uzbekistan,,"55.93,37.14,73.06,45.59"
Vanuatu,,"166.63,-16.6,167.84,-14.63"
Venezuela (Bolivarian Republic of),Venezuela,"-73.3,0.72,-59.76,12.16"
Vietnam,Viet Nam,"102.17,8.6,109.34,23.35"
Wallis and Futuna Islands,,"-178.3874,-14.5631,-175.919,-12.9828"
West Bank,,"34.93,31.35,35.55,32.53"
Western Sahara,,"-17.319,20.6673,-8.6663,27.6706"
World,,"-179.99,-89.99,179.99,89.99"
Yemen,,"42.6,12.59,53.11,19"
Zambia,,"21.89,-17.96,33.49,-8.24"
Zimbabwe,,"25.26,-22.27,32.85,-15.51"
UK Scotland,Scotland,"-14.02,54.43,-0.32,61.06"
UK Wales,Wales,"-5.8077,51.229,-2.6499,53.635"
